,logFC,AveExpr,t,P.Value,adj.P.Val,B
CHD5,0.524232474547865,4.95509470701198,13.2997979433342,2.75507320764502E-22,7.66909065763086E-19,40.0453430653186
LINC00656,0.583858389189512,4.4949732001932,13.0066457559057,9.69478624037539E-22,1.96266540715381E-18,38.8287019464451
TMEM101,0.789937270232509,4.99909619571428,12.0545177674293,6.29918701463322E-20,7.79314420160373E-17,34.7849834665899
SMCP,0.5073211581788,4.23239228658639,11.9896733518916,8.22318720021159E-20,9.15610778807559E-17,34.5261911919808
NMNAT2,0.587093554228207,4.61519519570682,10.7207117863344,2.42707880534199E-17,1.63783690655033E-14,28.9995592739798
DMGDH,0.682537117789956,4.73767489557091,9.5380306052238,5.53783658270791E-15,2.2801250082259E-12,23.7121515726629
CACNG4,0.941468544201463,4.6442566109041,9.40265273969388,1.03231904363899E-14,3.76864143980273E-12,23.1052207775407
NBR1,0.744527624544673,4.75773512464802,8.70436692599131,2.57157825580139E-13,6.43649857670992E-11,19.9710961803153
MROCKI,1.21401730758943,4.68258404560093,8.62373570400774,3.7277625428573E-13,8.73826779651465E-11,19.609159259989
ZNF572,0.993020189782084,5.5943819140409,8.51966195625512,6.0187985819105E-13,1.30128762738412E-10,19.1421544964043
WDCP,0.545456116816366,5.70076446046266,8.43937145420134,8.63295048595585E-13,1.78006642936806E-10,18.7901888672081
GTPBP4,0.591963474663008,5.95733047378031,8.2561578568646,2.02145568512256E-12,3.6598208660158E-10,17.9612486316248
CECR2,0.519995373386891,4.83451664542671,8.18414646965378,2.78812309369899E-12,4.81307854058782E-10,17.6474399685889
OGDHL,0.998386164959096,5.05768387441946,8.18124568019194,2.85218342329217E-12,4.84849409567125E-10,17.6257261139916
ZSCAN30,0.511417023985379,6.41889442295046,7.52314215683668,5.75712781177805E-11,6.85590798077462E-09,14.698015214979
TTC9C,0.704568201120384,4.23142712163201,7.43949770252391,8.4456153417115E-11,9.74483979505561E-09,14.325074669392
TMEM170B,1.16213939611952,4.55190391218,7.15870752522359,3.00662672313092E-10,2.99395511778179E-08,13.0892352160871
CLCA4-AS1,0.509180759742896,4.56471581991126,7.10793182366228,3.7782783584729E-10,3.56518986291665E-08,12.8669698633724
ZNF204P,1.09918998409997,4.69711862008754,6.91927551023917,8.80871558488583E-10,7.78417806983423E-08,12.0437394670418
TLR7,0.846731019842204,4.71147914777023,6.81665106372888,1.392841261208E-09,1.09601349985304E-07,11.5983308062471
KLKB1,0.783458256363003,5.0452188852661,6.74578646299471,1.90935281145558E-09,1.4511733023312E-07,11.2918023006026
TTC30A,0.896122291595109,5.22958133442647,6.52596833852512,5.0515887507979E-09,3.33809584247829E-07,10.346809638429
ZSCAN9,0.576250874340601,6.32827749661396,6.48051099829153,6.17061963396749E-09,3.93735039051066E-07,10.1525672857679
SPEF2,0.887956298843116,5.24585480633072,6.44081095702753,7.34651263099869E-09,4.53184182215262E-07,9.98327594147096
SEC62,0.789357602539062,4.95938357285303,6.4256812416148,7.8508201882928E-09,4.76375789572459E-07,9.91884628805591
AMDHD1,0.973889611477293,4.04024693765869,6.40178230274748,8.71807243805641E-09,5.17714013661542E-07,9.81717273628005
HOXA-AS2,0.735644680587387,3.74358217858572,6.38108039286481,9.54548486733947E-09,5.63841916474225E-07,9.72920011398037
