,logFC,AveExpr,t,P.Value,adj.P.Val,B
ECRG4,-1.58897230975223,4.60597843674114,-5.24182598594954,1.73822564936936E-06,0.000109655940469706,4.86649109777274
TEX45,-0.545438450327262,6.41681795504797,-5.20759741116898,1.98226676459363E-06,0.00012194226127275,4.74121703678542
SPANXA1,-0.508885307635122,5.96575455636237,-5.18952623951002,2.12294948781447E-06,0.000128817335542617,4.67578091091435
SPANXA2,-0.508885307635122,5.96575455636237,-5.18952623951002,2.12294948781447E-06,0.000128817335542617,4.67578091091435
SPANXB1,-0.508885307635122,5.96575455636237,-5.18952623951002,2.12294948781447E-06,0.000128817335542617,4.67578091091435
ANKRD35,-0.711186198247248,5.9269522627931,-5.09643277971428,3.03049924651383E-06,0.00017215864214443,4.3367058791478
IFT22,-0.511773137388955,5.27864837684825,-5.08878316186689,3.11878307779725E-06,0.000176723105240374,4.30931643163889
SIT1,-0.629598025981296,6.21427368950312,-5.02835112950787,3.92352573352014E-06,0.00020852743331685,4.09080119290266
SEC24B-AS1,-0.527063891920047,4.15609939139163,-5.00380848546726,4.30493783010187E-06,0.000226100614477685,4.00250872618257
MAPRE3,-0.631728934691592,5.10928695189392,-4.97939126308738,4.72035709659645E-06,0.000237679773854798,3.91485683045477
LINC01679,-0.57696048524423,5.62556785735766,-4.96899087025451,4.90899575948951E-06,0.00024456023840732,3.87757985790594
EDIL3,-0.584114901496658,4.05956717684433,-4.92758245420182,5.73597952950605E-06,0.000278288732336754,3.72951156469294
TMEM35A,-0.887477420295123,4.41784968346436,-4.92150916745579,5.86820826744652E-06,0.000282244341053491,3.70784180760291
CPT1C,-0.596116630410233,5.13799786710368,-4.86982897661524,7.1208423953797E-06,0.000331052274118394,3.5239399029562
EIF4E3,-0.816831281121829,4.20707634189081,-4.84944442144185,7.68377646916727E-06,0.000352804161220383,3.45164904943123
INS,-0.599026484172968,4.28544267757847,-4.79720566712535,9.33236837070016E-06,0.000418996998482101,3.26704159379523
CHRDL1,-1.7478161302565,6.13752028629151,-4.78035256241191,9.93447309957778E-06,0.000436352626142993,3.20768626150902
ZNF793-AS1,-0.51153586994485,4.25614690036661,-4.6040846162554,1.89964533996675E-05,0.000743465765829869,2.59301675706464
SPIDR,-0.661868918868105,6.51380594799566,-4.58955237338895,2.00297632890273E-05,0.000770367527950515,2.54285594934668
CPPED1,-0.725724837369706,4.85645090346855,-4.5630758362392,2.20547610754112E-05,0.00082672987259606,2.45167522613746
RSPO4,-0.550992420220132,4.98329792372895,-4.54884161792877,2.32243764369534E-05,0.000860538500623152,2.4027669214877
CRYGC,-0.524785731179349,5.50768719133421,-4.52305933176769,2.54983316512955E-05,0.000912897664859646,2.31438102084689
ZC2HC1A,-0.536200447156005,7.44872404563565,-4.43062085365412,3.55705612641753E-05,0.00118403711329136,1.99965779064497
LINC01010,-0.507139563230693,5.15669290081519,-4.41852754080214,3.71452158202812E-05,0.0012291037312063,1.95873967269112
ATP6V1C2,-0.851174242870665,4.27575033887593,-4.37251406813435,4.37783820736417E-05,0.00138512370587753,1.80360368972163
CTRB1,-0.696907526317674,4.86300764894708,-4.3250203417747,5.18250704474016E-05,0.00159185171557681,1.64440721443802
CTRB2,-0.696907526317674,4.86300764894708,-4.3250203417747,5.18250704474016E-05,0.00159185171557681,1.64440721443802
CCL19,-1.12755389898017,6.71811407874825,-4.28095290998912,6.05604861887299E-05,0.00179337961028833,1.49755634945642
HSPB6,-0.597501222647704,5.44876285172644,-4.24863574173847,6.78557542239868E-05,0.00197526770041041,1.39039756734681
PRELP,-1.29439796317676,7.3170667753234,-4.24556512520069,6.85915570260383E-05,0.00198972789798264,1.38023968504327
HSPB8,-1.05700281718854,7.00757066819571,-4.24084958615456,6.97365742311835E-05,0.0020123048754248,1.3646483355172
LINC01082,-0.696730305879881,5.87306577366445,-4.23177969382619,7.19910938511446E-05,0.0020659402950659,1.33468745568832
SDCBPP2,-0.532918960816017,4.64441426170765,-4.16497078723302,9.09101209108875E-05,0.00251586048841968,1.11512621959045
OMD,-0.966968997922467,4.1777619987378,-4.16485860192503,9.09456056930192E-05,0.00251586048841968,1.11475922421974
SCUBE2,-0.68077360642432,5.25027998080326,-4.15271418789213,9.48670569605012E-05,0.00260492539020148,1.07506468509248
SPACA3,-0.608200668092847,5.4301220921593,-4.14019415454257,9.90804771563658E-05,0.0026874825161938,1.03421290354533
GZMK,-0.783030065117718,5.85543592419779,-4.13356956818387,0.000101382358087818,0.00272338206544948,1.01262651688402
MAN1C1,-0.581676369124105,6.09189222677943,-4.11453399070899,0.000108287533574702,0.00288106939686384,0.950711067949968
S100B,-0.716993539050002,4.68621063045465,-4.07771782587033,0.000122951522963024,0.00317235582721409,0.831439379586246
FLNC,-0.677237170832479,7.48963116025369,-4.06943650043365,0.000126504402280336,0.00323064969539083,0.804698107175936
SLC44A1,-0.543112569565959,6.38592112763754,-4.05934183671964,0.000130969139995965,0.00333320203265158,0.772145067786826
VPREB3,-0.515612824238704,5.38217649947099,-4.02566140458335,0.000146990107351786,0.00363702522290768,0.663882700403301
USP12P1,-0.501469732319163,4.67777632031714,-4.02347820392795,0.00014809126942622,0.00366020474900389,0.656883687472845
RBPMS2,-0.740953770388691,5.8878050820773,-3.95887162646949,0.000184516568256502,0.00437127601968514,0.450806122810911
SLC16A10,-0.619808126387648,5.03838942176726,-3.92942178862823,0.000203845646092692,0.00472366149098665,0.357545402952453
ECPAS,-0.54029378189614,5.04200082387317,-3.91036239797685,0.000217375998935808,0.00493953685745052,0.297417607549716
ZNF572,-0.529575859849736,5.20937830274367,-3.89509327888994,0.000228833432346835,0.00514217124614699,0.24937791873663
MOXD1,-0.883950855327796,6.10103598571825,-3.8742201829672,0.000245436717740501,0.00546017009726594,0.183896356365555
PAX8-AS1,-1.32650168720101,7.22535162763907,-3.82215428475134,0.000292036753199982,0.00621736754972313,0.0215221028024448
PARVA,-0.626752704188834,7.73788479459464,-3.80824724721852,0.000305851220374376,0.00643153996838242,-0.0216137557581302
SPRYD7,-0.649859576934185,4.76210292852701,-3.76731223534185,0.000350237903445081,0.00716202743050368,-0.148000827184466
